RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,League
1," Cabrera, M",DET,1B,119,429,64,145,28,1,18,76,77,82,1,1,0.338,0.44,0.534,0.974,AL
2," Bogaerts, X",BOS,SS,156,613,84,196,35,3,7,81,32,101,10,2,0.32,0.355,0.421,0.776,AL
3," Altuve, J",HOU,2B,154,638,86,200,40,4,15,66,33,67,38,13,0.313,0.353,0.459,0.812,AL
4," Brantley, M",CLE,LF,137,529,68,164,45,0,15,84,60,51,15,1,0.31,0.379,0.48,0.859,AL
5," Cain, L",KC,CF,140,551,101,169,34,6,16,72,37,98,28,6,0.307,0.361,0.477,0.838,AL
6," Fielder, P",TEX,1B,158,613,78,187,28,0,23,98,64,88,0,0,0.305,0.378,0.463,0.841,AL
7," Kipnis, J",CLE,2B,141,565,86,171,43,7,9,52,57,107,12,8,0.303,0.372,0.451,0.823,AL
8," Cruz, N",SEA,RF,152,590,90,178,22,1,44,93,59,164,3,2,0.302,0.369,0.566,0.936,AL
9," Trout, M",LAA,CF,159,575,104,172,32,6,41,90,92,158,11,7,0.299,0.402,0.59,0.991,AL
10," Hosmer, E",KC,1B,158,599,98,178,33,5,18,93,61,108,7,3,0.297,0.363,0.459,0.822,AL
11," Donaldson, J",TOR,3B,158,620,122,184,41,2,41,123,73,133,6,0,0.297,0.371,0.568,0.939,AL
12," Kinsler, I",DET,2B,154,624,94,185,35,7,11,73,43,80,10,6,0.296,0.342,0.428,0.77,AL
13," Burns, B",OAK,CF,125,520,70,153,18,9,5,42,26,81,26,8,0.294,0.334,0.392,0.726,AL
14," Betts, M",BOS,CF,145,597,92,174,42,8,18,77,46,82,21,6,0.291,0.341,0.479,0.82,AL
15," Abreu, J",CWS,1B,154,613,88,178,34,3,30,101,39,140,0,0,0.29,0.347,0.502,0.85,AL
16," Morales, K",KC,DH,158,569,81,165,41,2,22,106,58,103,0,0,0.29,0.362,0.485,0.847,AL
17," Beltre, A",TEX,3B,143,567,83,163,32,4,18,83,41,65,1,0,0.287,0.334,0.453,0.788,AL
18," Eaton, A",CWS,CF,153,610,98,175,28,9,14,56,58,131,18,8,0.287,0.361,0.431,0.792,AL
19," Cano, R",SEA,2B,156,624,82,179,34,1,21,79,43,107,2,6,0.287,0.334,0.446,0.779,AL
20," Machado, M",BAL,3B,162,633,102,181,30,1,35,86,70,111,20,8,0.286,0.359,0.502,0.861,AL
21," Moustakas, M",KC,3B,147,549,73,156,34,1,22,82,43,76,1,2,0.284,0.348,0.47,0.817,AL
22," Martinez, J",DET,RF,158,596,93,168,33,2,38,102,53,178,3,2,0.282,0.344,0.535,0.879,AL
23," Forsythe, L",TB,2B,153,540,69,152,33,2,17,68,55,111,9,4,0.281,0.359,0.444,0.804,AL
24," Holt, B",BOS,2B,129,454,56,127,27,6,2,45,46,97,8,1,0.28,0.349,0.379,0.727,AL
25," Pillar, K",TOR,CF,159,586,76,163,31,2,12,56,28,85,25,4,0.278,0.314,0.399,0.713,AL
26," Moreland, M",TEX,1B,132,471,51,131,27,0,23,85,32,112,1,0,0.278,0.33,0.482,0.812,AL
27," Encarnacion, E",TOR,1B,146,528,94,146,31,0,39,111,77,98,3,2,0.277,0.372,0.557,0.929,AL
28," Zobrist, B",KC,2B,126,467,76,129,36,3,13,56,62,56,3,4,0.276,0.359,0.45,0.809,AL
29," Beltran, C",NYY,RF,133,478,57,132,34,1,19,67,45,85,0,0,0.276,0.337,0.471,0.808,AL
30," Choo, S",TEX,RF,149,555,94,153,32,3,22,82,76,147,4,2,0.276,0.375,0.463,0.838,AL
31," Cabrera, M",CWS,LF,158,629,70,172,36,2,12,77,40,88,3,0,0.273,0.314,0.394,0.709,AL
32," Ortiz, D",BOS,DH,146,528,73,144,37,0,37,108,77,95,0,1,0.273,0.36,0.553,0.913,AL
33," Reddick, J",OAK,RF,149,526,67,143,25,4,20,77,49,65,10,2,0.272,0.333,0.449,0.781,AL
34," Giavotella, J",LAA,2B,129,453,51,123,25,5,4,49,32,59,2,1,0.272,0.318,0.375,0.694,AL
35," Longoria, E",TB,3B,160,604,74,163,35,1,21,73,51,132,3,1,0.27,0.328,0.435,0.764,AL
36," Aybar, E",LAA,SS,156,597,74,161,30,1,3,44,25,73,15,6,0.27,0.301,0.338,0.639,AL
37," Jones, A",BAL,CF,137,546,74,147,25,3,27,82,24,102,3,1,0.269,0.308,0.474,0.782,AL
38," Seager, K",SEA,3B,161,623,85,166,37,0,26,74,54,98,6,6,0.266,0.328,0.451,0.779,AL
39," Cabrera, A",TB,SS,143,505,66,134,28,5,15,58,36,107,6,3,0.265,0.315,0.43,0.744,AL
40," Mauer, J",MIN,1B,158,592,69,157,34,2,10,66,67,112,2,1,0.265,0.338,0.38,0.718,AL
41," Gregorius, D",NYY,SS,155,525,57,139,24,2,9,56,33,85,5,3,0.265,0.318,0.37,0.688,AL
42," Kiermaier, K",TB,CF,151,505,62,133,25,12,10,40,24,95,18,5,0.263,0.298,0.42,0.718,AL
43," Davis, C",BAL,1B,160,573,100,150,31,0,47,117,84,208,2,3,0.262,0.361,0.562,0.923,AL
44," Vogt, S",OAK,C,136,445,58,116,21,3,18,71,56,97,0,2,0.261,0.341,0.443,0.783,AL
45," Perez, S",KC,C,142,531,52,138,25,0,21,70,13,82,1,0,0.26,0.28,0.426,0.706,AL
46," Lawrie, B",OAK,3B,149,562,64,146,29,3,16,60,28,144,5,2,0.26,0.299,0.407,0.706,AL
47," Gardner, B",NYY,LF,151,571,94,148,26,3,16,66,68,135,20,5,0.259,0.343,0.399,0.742,AL
48," Headley, C",NYY,3B,156,580,74,150,29,1,11,62,51,135,0,2,0.259,0.324,0.369,0.693,AL
49," Andrus, E",TEX,SS,160,596,69,154,34,2,7,62,46,78,25,9,0.258,0.309,0.357,0.667,AL
50," Semien, M",OAK,SS,155,556,65,143,23,7,15,45,42,132,11,5,0.257,0.31,0.405,0.715,AL
51," Garcia, A",CWS,RF,148,553,66,142,17,2,13,59,36,141,7,7,0.257,0.309,0.365,0.675,AL
52," Escobar, A",KC,SS,148,612,76,157,20,5,3,47,26,75,17,5,0.257,0.293,0.32,0.614,AL
53," Calhoun, K",LAA,RF,159,630,78,161,23,2,26,83,45,164,4,1,0.256,0.308,0.422,0.731,AL
54," Castellanos, N",DET,3B,154,549,42,140,33,6,15,73,39,152,0,3,0.255,0.303,0.419,0.721,AL
55," Gose, A",DET,CF,140,485,73,123,24,8,5,26,45,145,23,11,0.254,0.321,0.367,0.688,AL
56," Butler, B",OAK,DH,151,538,63,135,28,1,15,65,52,101,0,0,0.251,0.323,0.39,0.713,AL
57," Rodriguez, A",NYY,DH,151,523,83,131,22,1,33,86,84,145,4,0,0.25,0.356,0.486,0.842,AL
58," Bautista, J",TOR,RF,153,543,108,136,29,3,40,114,110,106,8,2,0.25,0.377,0.536,0.913,AL
59," Ramirez, A",CWS,SS,154,583,54,145,33,0,10,62,31,68,17,7,0.249,0.285,0.357,0.642,AL
60," Gattis, E",HOU,DH,153,566,66,139,20,11,27,88,30,119,0,1,0.246,0.285,0.463,0.748,AL
61," Sandoval, P",BOS,3B,126,470,43,115,25,1,10,47,25,73,0,0,0.245,0.292,0.366,0.658,AL
62," Plouffe, T",MIN,3B,152,573,74,140,35,4,22,86,50,124,2,1,0.244,0.307,0.435,0.742,AL
63," Pujols, A",LAA,1B,157,602,85,147,22,0,40,95,50,72,5,3,0.244,0.307,0.48,0.787,AL
64," Martin, R",TOR,C,129,441,76,106,23,2,23,77,53,106,4,5,0.24,0.329,0.458,0.787,AL
65," Hunter, T",MIN,RF,139,521,67,125,22,0,22,81,35,105,2,5,0.24,0.293,0.409,0.702,AL
66," Dozier, B",MIN,2B,157,628,101,148,39,4,28,77,61,148,12,4,0.236,0.307,0.444,0.751,AL
67," McCann, B",NYY,C,135,465,68,108,15,1,26,94,52,97,0,0,0.232,0.32,0.437,0.756,AL
68," Santana, C",CLE,1B,154,550,72,127,29,2,19,85,108,122,11,3,0.231,0.357,0.395,0.752,AL
69," Morrison, L",SEA,1B,146,457,47,103,15,3,17,54,47,81,8,4,0.225,0.302,0.383,0.685,AL
1," Gordon, D",MIA,2B,145,615,88,205,24,8,4,46,25,91,58,20,0.333,0.359,0.418,0.776,NL
2," Harper, B",WSH,RF,153,521,118,172,38,1,42,99,124,131,6,4,0.33,0.46,0.649,1.109,NL
3," Goldschmidt, P",ARI,1B,159,567,103,182,38,2,33,110,118,151,21,5,0.321,0.435,0.57,1.005,NL
4," Posey, B",SF,C,150,557,74,177,28,0,19,95,56,52,2,0,0.318,0.379,0.47,0.849,NL
5," Pollock, A",ARI,CF,157,609,111,192,39,6,20,76,53,89,39,7,0.315,0.367,0.498,0.865,NL
6," Escobar, Y",WSH,3B,139,535,75,168,25,1,9,56,45,70,2,2,0.314,0.375,0.415,0.79,NL
7," Votto, J",CIN,1B,158,545,95,171,33,2,29,80,143,135,11,3,0.314,0.459,0.541,1,NL
